edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(846231724, 92929758, 0)",18.43985352492118,RWS01_MONICA_00D00F06205018200005,Zuid-Holland,846231724.0,92929758.0,466.0
"(846231724, 92929758, 0)",0.00045490559217842936,RWS01_MONICA_00D00F06240ED0050005,Zuid-Holland,846231724.0,92929758.0,941.7857142857143
"(846231724, 92929758, 0)",0.00045490559217842936,RWS01_MONICA_00D00F06240ED0050009,Zuid-Holland,846231724.0,92929758.0,2727.5
"(846231724, 92929758, 0)",0.00045490559217842936,RWS01_MONICA_00D00F06240ED005000D,Zuid-Holland,846231724.0,92929758.0,958.1428571428571
"(44286623, 44250189, 0)",0.00048787256677549875,RWS01_MONICA_00D00F06241AD0070007,Zuid-Holland,44286623.0,44250189.0,1044.0714285714287
"(44286623, 44250189, 0)",0.00048787256677549875,RWS01_MONICA_00D00F06241AD007000B,Zuid-Holland,44286623.0,44250189.0,3540.214285714286
"(44286623, 44250189, 0)",0.00048787256677549875,RWS01_MONICA_00D00F06241AD007000F,Zuid-Holland,44286623.0,44250189.0,1162.142857142857
"(44286623, 44268493, 0)",0.00012814644297653497,RWS01_MONICA_00D00F063042D0070007,Zuid-Holland,44286623.0,44268493.0,
"(44286623, 44268493, 0)",0.00012814644297653497,RWS01_MONICA_00D00F063042D007000B,Zuid-Holland,44286623.0,44268493.0,
"(44286623, 44268493, 0)",0.00012814644297653497,RWS01_MONICA_00D00F063042D007000F,Zuid-Holland,44286623.0,44268493.0,
"(44155561, 846231724, 0)",0.00034741447706134994,RWS01_MONICA_00D00F06582CD0050005,Zuid-Holland,44155561.0,846231724.0,
"(44155561, 846231724, 0)",0.00034741447706134994,RWS01_MONICA_00D00F06582CD0050009,Zuid-Holland,44155561.0,846231724.0,
"(44155561, 846231724, 0)",0.00034741447706134994,RWS01_MONICA_00D00F06582CD005000D,Zuid-Holland,44155561.0,846231724.0,
"(44250189, 44155110, 0)",0.00034725262894875645,RWS01_MONICA_00D00F065838D0070007,Zuid-Holland,44250189.0,44155110.0,
